"id,state,county,rate"
"57007,South Dakota,Brookings County,2"
"37830,Tennessee,Anderson County,19"
"37013,Tennessee,Davidson County,23"
"38047,Tennessee,Dyer County,2"
"38010,Tennessee,Fayette County,2"
"38330,Tennessee,Gibson County,2"
"38042,Tennessee,Hardeman County,5"
"37134,Tennessee,Humphreys County,3"
"37932,Tennessee,Knox County,24"
"38041,Tennessee,Lauderdale County,2"
"38334,Tennessee,Mcnairy County,2"
"38541,Tennessee,Overton County,2"
"37073,Tennessee,Robertson County,2"
"38027,Tennessee,Shelby County,30"
"37075,Tennessee,Sumner County,12"
"78026,Texas,Atascosa County,2"
"78957,Texas,Bastrop County,2"
"76502,Texas,Bell County,2"
"78210,Texas,Bexar County,16"
"77843,Texas,Brazos County,10"
"79085,Texas,Castro County,2"
"75002,Texas,Collin County,6"
"75006,Texas,Dallas County,61"
"75010,Texas,Denton County,6"
"75120,Texas,Ellis County,5"
"77555,Texas,Galveston County,3"
"77004,Texas,Harris County,98"
"75124,Texas,Henderson County,2"
"76049,Texas,Hood County,3"
"79005,Texas,Lipscomb County,2"
"78350,Texas,Live Oak County,9"
"79409,Texas,Lubbock County,4"
"78850,Texas,Medina County,2"
"76230,Texas,Montague County,2"
"75105,Texas,Navarro County,2"
"79104,Texas,Potter County,43"
"79110,Texas,Randall County,2"
"76821,Texas,Runnels County,3"
"78352,Texas,San Patricio County,3"
"76021,Texas,Tarrant County,11"
"78701,Texas,Travis County,73"
"77340,Texas,Walker County,2"
"77446,Texas,Waller County,2"
"77420,Texas,Wharton County,4"
"84322,Utah,Cache County,6"
"84084,Utah,Salt Lake County,51"
"84062,Utah,Utah County,9"
"05401,Vermont,Chittenden County,8"
"05663,Vermont,Washington County,2"
"22201,Virginia,Arlington County,6"
"24201,Virginia,Bristol County,2"
"22903,Virginia,Charlottesville City County,6"
"22030,Virginia,Fairfax City County,2"
"22184,Virginia,Fairfax County,2"
"20131,Virginia,Loudoun County,10"
"24060,Virginia,Montgomery County,63"
"23501,Virginia,Norfolk City County,2"
"23955,Virginia,Nottoway County,3"
"22135,Virginia,Prince William County,2"
"23173,Virginia,Richmond City County,7"
"24006,Virginia,Roanoke City County,2"
"99352,Washington,Benton County,6"
"98052,Washington,King County,89"
"98110,Washington,Kitsap County,3"
"98021,Washington,Snohomish County,2"
"99004,Washington,Spokane County,4"
"99164,Washington,Whitman County,8"
"25704,West Virginia,Cabell County,4"
"25443,West Virginia,Jefferson County,2"
"25123,West Virginia,Mason County,2"
"26504,West Virginia,Monongalia County,4"
"26170,West Virginia,Pleasants County,2"
"53705,Wisconsin,Dane County,59"
"54650,Wisconsin,La Crosse County,2"
"53201,Wisconsin,Milwaukee County,6"
"54124,Wisconsin,Oconto County,2"
"54006,Wisconsin,Polk County,2"
"54561,Wisconsin,Vilas County,2"
"53114,Wisconsin,Walworth County,6"
"82071,Wyoming,Albany County,3"
"82512,Wyoming,Fremont County,2"
