id,state,county,rate
08107,Colorado,Routt County,1.5
08109,Colorado,Saguache County,1.5
08111,Colorado,San Juan County,1.5
08113,Colorado,San Miguel County,1.5
08115,Colorado,Sedgwick County,1.5
08117,Colorado,Summit County,1.5
08119,Colorado,Teller County,1.5
08121,Colorado,Washington County,1.5
80638,Colorado,Weld County,2
08125,Colorado,Yuma County,1.5
06902,Connecticut,Fairfield County,2
06019,Connecticut,Hartford County,15
09005,Connecticut,Litchfield County,1.5
06459,Connecticut,Middlesex County,2
06510,Connecticut,New Haven County,42
06340,Connecticut,New London County,2
06269,Connecticut,Tolland County,5
09015,Connecticut,Windham County,1.5
19901,Delaware,Kent County,2
19711,Delaware,New Castle County,31
10005,Delaware,Sussex County,1.5
20003,District of Columbia,District Of Columbia County,39
32601,Florida,Alachua County,57
12003,Florida,Baker County,1.5
12005,Florida,Bay County,1.5
12007,Florida,Bradford County,1.5
32925,Florida,Brevard County,2
33076,Florida,Broward County,7
12013,Florida,Calhoun County,1.5
12015,Florida,Charlotte County,1.5
34450,Florida,Citrus County,2
12019,Florida,Clay County,1.5
34141,Florida,Collier County,14
12023,Florida,Columbia County,1.5
12027,Florida,DeSoto County,1.5
12029,Florida,Dixie County,1.5
12031,Florida,Duval County,1.5
12033,Florida,Escambia County,1.5
12035,Florida,Flagler County,1.5
12037,Florida,Franklin County,1.5
12039,Florida,Gadsden County,1.5
12041,Florida,Gilchrist County,1.5
12043,Florida,Glades County,1.5
12045,Florida,Gulf County,1.5
12047,Florida,Hamilton County,1.5
12049,Florida,Hardee County,1.5
12051,Florida,Hendry County,1.5
34602,Florida,Hernando County,2
12055,Florida,Highlands County,1.5
33594,Florida,Hillsborough County,16
12059,Florida,Holmes County,1.5
12061,Florida,Indian River County,1.5
12063,Florida,Jackson County,1.5
12065,Florida,Jefferson County,1.5
12067,Florida,Lafayette County,1.5
12069,Florida,Lake County,1.5
33932,Florida,Lee County,2
32306,Florida,Leon County,2
12075,Florida,Levy County,1.5
12077,Florida,Liberty County,1.5
12079,Florida,Madison County,1.5
12081,Florida,Manatee County,1.5
12083,Florida,Marion County,1.5
34956,Florida,Martin County,2
33101,Florida,Miami-Dade County,18
12087,Florida,Monroe County,1.5
12089,Florida,Nassau County,1.5
12091,Florida,Okaloosa County,1.5
12093,Florida,Okeechobee County,1.5
32703,Florida,Orange County,4
12097,Florida,Osceola County,1.5
33458,Florida,Palm Beach County,3
12101,Florida,Pasco County,1.5
12103,Florida,Pinellas County,1.5
33850,Florida,Polk County,4
12107,Florida,Putnam County,1.5
12109,Florida,St. Johns County,1.5
12111,Florida,St. Lucie County,1.5
12113,Florida,Santa Rosa County,1.5
34238,Florida,Sarasota County,9
12117,Florida,Seminole County,1.5
12119,Florida,Sumter County,1.5
12121,Florida,Suwannee County,1.5
12123,Florida,Taylor County,1.5
12125,Florida,Union County,1.5
12127,Florida,Volusia County,1.5
12129,Florida,Wakulla County,1.5
12131,Florida,Walton County,1.5
12133,Florida,Washington County,1.5
13001,Georgia,Appling County,1.5
13003,Georgia,Atkinson County,1.5
13005,Georgia,Bacon County,1.5
13007,Georgia,Baker County,1.5
31062,Georgia,Baldwin County,5
13011,Georgia,Banks County,1.5
13013,Georgia,Barrow County,1.5
13015,Georgia,Bartow County,1.5
13017,Georgia,Ben Hill County,1.5
13019,Georgia,Berrien County,1.5
13021,Georgia,Bibb County,1.5
13023,Georgia,Bleckley County,1.5
13025,Georgia,Brantley County,1.5
13027,Georgia,Brooks County,1.5
13029,Georgia,Bryan County,1.5
13031,Georgia,Bulloch County,1.5
13033,Georgia,Burke County,1.5
13035,Georgia,Butts County,1.5
13037,Georgia,Calhoun County,1.5
13039,Georgia,Camden County,1.5
13043,Georgia,Candler County,1.5
13045,Georgia,Carroll County,1.5
13047,Georgia,Catoosa County,1.5
13049,Georgia,Charlton County,1.5
31403,Georgia,Chatham County,2
13053,Georgia,Chattahoochee County,1.5
13055,Georgia,Chattooga County,1.5
13057,Georgia,Cherokee County,1.5
30602,Georgia,Clarke County,12
13061,Georgia,Clay County,1.5
13063,Georgia,Clayton County,1.5
13065,Georgia,Clinch County,1.5
13067,Georgia,Cobb County,1.5
31535,Georgia,Coffee County,3
13071,Georgia,Colquitt County,1.5
13073,Georgia,Columbia County,1.5
13075,Georgia,Cook County,1.5
13077,Georgia,Coweta County,1.5
13079,Georgia,Crawford County,1.5
13081,Georgia,Crisp County,1.5
13083,Georgia,Dade County,1.5
13085,Georgia,Dawson County,1.5
13087,Georgia,Decatur County,1.5
30033,Georgia,Dekalb County,27
31077,Georgia,Dodge County,5
13093,Georgia,Dooly County,1.5
13095,Georgia,Dougherty County,1.5
13097,Georgia,Douglas County,1.5
13099,Georgia,Early County,1.5
13101,Georgia,Echols County,1.5
13103,Georgia,Effingham County,1.5
13105,Georgia,Elbert County,1.5
13107,Georgia,Emanuel County,1.5
13109,Georgia,Evans County,1.5
13111,Georgia,Fannin County,1.5
13113,Georgia,Fayette County,1.5
13115,Georgia,Floyd County,1.5
13117,Georgia,Forsyth County,1.5
13119,Georgia,Franklin County,1.5
30303,Georgia,Fulton County,37
13123,Georgia,Gilmer County,1.5
13125,Georgia,Glascock County,1.5
13127,Georgia,Glynn County,1.5
13129,Georgia,Gordon County,1.5
13131,Georgia,Grady County,1.5
13133,Georgia,Greene County,1.5
30019,Georgia,Gwinnett County,2
13137,Georgia,Habersham County,1.5
13139,Georgia,Hall County,1.5
13141,Georgia,Hancock County,1.5
13143,Georgia,Haralson County,1.5
13145,Georgia,Harris County,1.5
13147,Georgia,Hart County,1.5
13149,Georgia,Heard County,1.5
13151,Georgia,Henry County,1.5
13153,Georgia,Houston County,1.5
13155,Georgia,Irwin County,1.5
13157,Georgia,Jackson County,1.5
13159,Georgia,Jasper County,1.5
13161,Georgia,Jeff Davis County,1.5
13163,Georgia,Jefferson County,1.5
13165,Georgia,Jenkins County,1.5
31096,Georgia,Johnson County,2
13169,Georgia,Jones County,1.5
13171,Georgia,Lamar County,1.5
13173,Georgia,Lanier County,1.5
13175,Georgia,Laurens County,1.5
13177,Georgia,Lee County,1.5
31320,Georgia,Liberty County,2
13181,Georgia,Lincoln County,1.5
13183,Georgia,Long County,1.5
13185,Georgia,Lowndes County,1.5
13187,Georgia,Lumpkin County,1.5
13189,Georgia,McDuffie County,1.5
13191,Georgia,McIntosh County,1.5
13193,Georgia,Macon County,1.5
13195,Georgia,Madison County,1.5
